"Survival","Sex","Temp","Sib_ID"
1,"F","34","BMR1-B4H"
1,"F","34","BMR1-B4H"
1,"F","34.5","BMR1-B4H"
1,"F","34.5","BMR1-B4H"
1,"F","34.5","BMR1-B4H"
1,"F","34.5","BMR1-B4H"
1,"F","34.8","BMR1-B4H"
1,"F","34.8","BMR1-B4H"
1,"F","35.3","BMR1-B4H"
1,"F","35.3","BMR1-B4H"
1,"F","35.8","BMR1-B4H"
1,"F","36.2","BMR1-B4H"
1,"F","36.2","BMR1-B4H"
1,"F","36.5","BMR1-B4H"
1,"F","36.5","BMR1-B4H"
0,"F","37","BMR1-B4H"
0,"F","37","BMR1-B4H"
0,"F","37","BMR1-B4H"
1,"F","34","BMR4-B1H"
1,"F","34.5","BMR4-B1H"
1,"F","34.8","BMR4-B1H"
1,"F","35.3","BMR4-B1H"
1,"F","36.2","BMR4-B1H"
0,"F","36.2","BMR4-B1H"
0,"F","36.5","BMR4-B1H"
0,"F","37","BMR4-B1H"
1,"F","34","BMR1-C4H"
1,"F","34.5","BMR1-C4H"
1,"F","34.5","BMR1-C4H"
1,"F","34.8","BMR1-C4H"
1,"F","34.8","BMR1-C4H"
1,"F","35.8","BMR1-C4H"
1,"F","35.8","BMR1-C4H"
1,"F","35.8","BMR1-C4H"
1,"F","36.2","BMR1-C4H"
1,"F","36.2","BMR1-C4H"
1,"F","36.5","BMR1-C4H"
0,"F","36.5","BMR1-C4H"
0,"F","37","BMR1-C4H"
1,"F","34","BMR6-A2BH"
1,"F","34","BMR6-A2BH"
1,"F","34.8","BMR6-A2BH"
1,"F","35.3","BMR6-A2BH"
1,"F","36.2","BMR6-A2BH"
0,"F","36.5","BMR6-A2BH"
0,"F","37","BMR6-A2BH"
1,"F","34","BMR4-B4H"
1,"F","35.8","BMR4-B4H"
1,"F","36.2","BMR4-B4H"
1,"F","34","BMR1-A1H"
1,"F","34.8","BMR1-A1H"
1,"F","34.8","BMR1-A1H"
1,"F","35.3","BMR1-A1H"
1,"F","35.8","BMR1-A1H"
0,"F","36.2","BMR1-A1H"
1,"F","34.5","BMR6-A1H"
1,"F","34.8","BMR6-A1H"
0,"F","35.3","BMR6-A1H"
1,"F","35.8","BMR6-A1H"
1,"F","36.5","BMR6-A1H"
1,"F","34","BMR6-B4BH"
1,"F","34.5","BMR6-B4BH"
1,"F","34.8","BMR6-B4BH"
1,"F","35.3","BMR6-B4BH"
1,"F","35.3","BMR6-B4BH"
1,"F","35.8","BMR6-B4BH"
1,"F","36.2","BMR6-B4BH"
0,"F","36.5","BMR6-B4BH"
1,"F","37","BMR6-B4BH"
0,"F","37","BMR6-B4BH"
0,"F","37","BMR6-B4BH"
1,"F","34","BMR1-A1L"
1,"F","35.3","BMR1-A1L"
0,"F","37","BMR1-A1L"
1,"F","34","BMR1-B4L"
0,"F","34","BMR1-B4L"
1,"F","34.5","BMR1-B4L"
1,"F","34.5","BMR1-B4L"
1,"F","34.8","BMR1-B4L"
1,"F","35.3","BMR1-B4L"
1,"F","35.3","BMR1-B4L"
0,"F","36.5","BMR1-B4L"
0,"F","37","BMR1-B4L"
0,"F","37","BMR1-B4L"
0,"F","37","BMR1-B4L"
0,"F","37","BMR1-B4L"
1,"F","34","BMR6-A2BL"
1,"F","35.3","BMR6-A2BL"
1,"F","35.3","BMR6-A2BL"
0,"F","35.8","BMR6-A2BL"
0,"F","36.2","BMR6-A2BL"
0,"F","36.5","BMR6-A2BL"
0,"F","36.5","BMR6-A2BL"
0,"F","37","BMR6-A2BL"
1,"F","34","BMR4-B4L"
1,"F","34.5","BMR4-B4L"
1,"F","35.3","BMR4-B4L"
1,"F","36.2","BMR4-B4L"
1,"F","36.5","BMR4-B4L"
0,"F","37","BMR4-B4L"
1,"F","34.5","BMR1-C4L"
0,"F","34.8","BMR1-C4L"
1,"F","35.3","BMR1-C4L"
1,"F","35.8","BMR1-C4L"
1,"F","36.2","BMR1-C4L"
0,"F","36.5","BMR1-C4L"
0,"F","36.5","BMR1-C4L"
0,"F","37","BMR1-C4L"
0,"F","37","BMR1-C4L"
1,"F","34","BMR6-A1L"
1,"F","34","BMR6-A1L"
1,"F","34.5","BMR6-A1L"
1,"F","34.8","BMR6-A1L"
1,"F","35.3","BMR6-A1L"
1,"F","35.8","BMR6-A1L"
0,"F","36.2","BMR6-A1L"
1,"F","36.5","BMR6-A1L"
0,"F","37","BMR6-A1L"
0,"F","37","BMR6-A1L"
1,"F","34.5","BMR4-B1L"
1,"F","35.3","BMR4-B1L"
1,"F","35.3","BMR4-B1L"
1,"F","35.8","BMR4-B1L"
0,"F","37","BMR4-B1L"
0,"F","37","BMR4-B1L"
1,"F","34","BMR6-B4BL"
1,"F","34.5","BMR6-B4BL"
1,"F","35.3","BMR6-B4BL"
0,"F","36.2","BMR6-B4BL"
0,"F","37","BMR6-B4BL"
0,"F","37","BMR6-B4BL"
1,"F","34.8","BMR1-A4H"
1,"F","35.3","BMR1-A4H"
0,"F","35.8","BMR1-A4H"
0,"F","36.2","BMR1-A4H"
1,"F","36.5","BMR1-A4H"
0,"F","34","BMR1-B2H"
0,"F","35.3","BMR1-B2H"
1,"F","35.8","BMR1-B2H"
1,"F","35.8","BMR1-B2H"
0,"F","36.2","BMR1-B2H"
0,"F","36.5","BMR1-B2H"
0,"F","37","BMR6-A1BH"
1,"F","34","BMR6-B1BH"
1,"F","34.8","BMR6-B1BH"
1,"F","36.2","BMR6-B1BH"
0,"F","37","BMR6-B1BH"
1,"F","34","BMR6-C2BH"
1,"F","34.5","BMR6-C2BH"
1,"F","34.8","BMR6-C2BH"
1,"F","35.3","BMR6-C2BH"
1,"F","36.2","BMR6-C2BH"
1,"F","36.5","BMR6-C2BH"
0,"F","37","BMR6-C2BH"
0,"F","37","BMR6-C2BH"
1,"F","34","BMR1-A4L"
1,"F","34.5","BMR1-A4L"
0,"F","34.8","BMR1-A4L"
0,"F","35.3","BMR1-A4L"
1,"F","35.8","BMR1-A4L"
0,"F","35.8","BMR1-A4L"
0,"F","36.2","BMR1-A4L"
0,"F","36.5","BMR1-A4L"
1,"F","36.5","BMR6-C2BL"
1,"F","34","BMR1-B2L"
0,"F","34.5","BMR1-B2L"
1,"F","34.8","BMR1-B2L"
0,"F","35.3","BMR1-B2L"
0,"F","35.8","BMR1-B2L"
0,"F","36.5","BMR1-B2L"
0,"F","37","BMR1-B2L"
1,"F","34","BMR6-B1BL"
1,"F","34.5","BMR6-B1BL"
0,"F","35.8","BMR6-B1BL"
1,"F","36.2","BMR6-B1BL"
0,"F","36.5","BMR6-B1BL"
0,"F","37","BMR6-B1BL"
1,"F","34","BMR4-A3H"
1,"F","34","BMR4-A3H"
1,"F","34","BMR4-A3H"
1,"F","34.5","BMR4-A3H"
1,"F","34.5","BMR4-A3H"
1,"F","34.8","BMR4-A3H"
1,"F","34.8","BMR4-A3H"
1,"F","35.3","BMR4-A3H"
1,"F","35.3","BMR4-A3H"
1,"F","35.3","BMR4-A3H"
1,"F","35.8","BMR4-A3H"
1,"F","35.8","BMR4-A3H"
1,"F","36.2","BMR4-A3H"
1,"F","36.2","BMR4-A3H"
1,"F","36.2","BMR4-A3H"
0,"F","37","BMR4-A3H"
0,"F","37","BMR4-A3H"
1,"F","34.5","BMR4-A3L"
1,"F","34.5","BMR4-A3L"
1,"F","34.8","BMR4-A3L"
1,"F","35.3","BMR4-A3L"
1,"F","35.3","BMR4-A3L"
1,"F","36.2","BMR4-A3L"
1,"F","36.2","BMR4-A3L"
0,"F","37","BMR4-A3L"
1,"M","34.8","BMR1-B4H"
1,"M","35.8","BMR1-B4H"
0,"M","35.8","BMR1-B4H"
0,"M","36.2","BMR1-B4H"
0,"M","36.5","BMR1-B4H"
1,"M","34.5","BMR4-B1H"
0,"M","34.8","BMR4-B1H"
1,"M","35.8","BMR4-B1H"
0,"M","36.5","BMR4-B1H"
0,"M","37","BMR4-B1H"
1,"M","34","BMR1-C4H"
1,"M","34.5","BMR1-C4H"
0,"M","34.8","BMR1-C4H"
1,"M","35.3","BMR1-C4H"
1,"M","35.3","BMR1-C4H"
1,"M","35.3","BMR1-C4H"
1,"M","35.8","BMR1-C4H"
1,"M","36.2","BMR1-C4H"
0,"M","36.5","BMR1-C4H"
0,"M","37","BMR1-C4H"
0,"M","37","BMR1-C4H"
1,"M","34.5","BMR6-A2BH"
1,"M","34.8","BMR6-A2BH"
0,"M","35.8","BMR6-A2BH"
1,"M","36.2","BMR6-A2BH"
0,"M","37","BMR6-A2BH"
0,"M","37","BMR6-A2BH"
1,"M","34.8","BMR4-B4H"
0,"M","36.5","BMR4-B4H"
1,"M","34","BMR1-A1H"
1,"M","34.5","BMR1-A1H"
0,"M","34.8","BMR1-A1H"
1,"M","35.3","BMR1-A1H"
1,"M","35.8","BMR1-A1H"
0,"M","35.8","BMR1-A1H"
1,"M","36.2","BMR1-A1H"
0,"M","36.5","BMR1-A1H"
0,"M","36.5","BMR1-A1H"
1,"M","37","BMR1-A1H"
1,"M","34","BMR6-A1H"
1,"M","34","BMR6-A1H"
0,"M","34.8","BMR6-A1H"
1,"M","35.3","BMR6-A1H"
1,"M","35.8","BMR6-A1H"
0,"M","36.5","BMR6-A1H"
1,"M","37","BMR6-A1H"
1,"M","34","BMR6-B4BH"
1,"M","34","BMR6-B4BH"
1,"M","34.5","BMR6-B4BH"
1,"M","34.5","BMR6-B4BH"
1,"M","34.8","BMR6-B4BH"
1,"M","34.8","BMR6-B4BH"
0,"M","35.3","BMR6-B4BH"
0,"M","35.3","BMR6-B4BH"
1,"M","35.8","BMR6-B4BH"
1,"M","36.2","BMR6-B4BH"
0,"M","36.2","BMR6-B4BH"
0,"M","36.5","BMR6-B4BH"
0,"M","36.5","BMR6-B4BH"
0,"M","36.5","BMR6-B4BH"
0,"M","37","BMR6-B4BH"
0,"M","34","BMR1-A1L"
0,"M","34.5","BMR1-A1L"
1,"M","34.8","BMR1-A1L"
1,"M","35.3","BMR1-A1L"
0,"M","36.2","BMR1-A1L"
0,"M","37","BMR1-A1L"
1,"M","34","BMR1-B4L"
0,"M","34.5","BMR1-B4L"
1,"M","34.8","BMR1-B4L"
0,"M","35.3","BMR1-B4L"
0,"M","35.8","BMR1-B4L"
1,"M","36.2","BMR1-B4L"
1,"M","36.2","BMR1-B4L"
0,"M","36.5","BMR1-B4L"
0,"M","36.5","BMR1-B4L"
1,"M","34","BMR6-A2BL"
1,"M","34.5","BMR6-A2BL"
1,"M","34.5","BMR6-A2BL"
1,"M","34.8","BMR6-A2BL"
1,"M","34.8","BMR6-A2BL"
0,"M","35.8","BMR6-A2BL"
0,"M","34","BMR4-B4L"
1,"M","34.5","BMR4-B4L"
0,"M","34.5","BMR4-B4L"
1,"M","34.8","BMR4-B4L"
0,"M","35.3","BMR4-B4L"
1,"M","35.8","BMR4-B4L"
1,"M","36.2","BMR4-B4L"
0,"M","36.5","BMR4-B4L"
0,"M","37","BMR4-B4L"
0,"M","37","BMR4-B4L"
1,"M","34","BMR1-C4L"
1,"M","34.5","BMR1-C4L"
1,"M","34.8","BMR1-C4L"
0,"M","35.8","BMR1-C4L"
0,"M","36.2","BMR1-C4L"
1,"M","34","BMR6-A1L"
0,"M","34","BMR6-A1L"
1,"M","34.8","BMR6-A1L"
1,"M","35.3","BMR6-A1L"
0,"M","36.2","BMR6-A1L"
1,"M","34","BMR4-B1L"
1,"M","34","BMR4-B1L"
0,"M","34","BMR4-B1L"
1,"M","34.5","BMR4-B1L"
1,"M","34.8","BMR4-B1L"
1,"M","34.8","BMR4-B1L"
1,"M","34.8","BMR4-B1L"
1,"M","35.3","BMR4-B1L"
0,"M","35.3","BMR4-B1L"
1,"M","35.8","BMR4-B1L"
1,"M","35.8","BMR4-B1L"
0,"M","36.2","BMR4-B1L"
0,"M","36.2","BMR4-B1L"
0,"M","36.2","BMR4-B1L"
0,"M","36.2","BMR4-B1L"
1,"M","36.5","BMR4-B1L"
0,"M","36.5","BMR4-B1L"
0,"M","36.5","BMR4-B1L"
0,"M","37","BMR4-B1L"
1,"M","34","BMR6-B4BL"
1,"M","34","BMR6-B4BL"
1,"M","34","BMR6-B4BL"
1,"M","34.5","BMR6-B4BL"
1,"M","34.8","BMR6-B4BL"
1,"M","34.8","BMR6-B4BL"
0,"M","34.8","BMR6-B4BL"
1,"M","35.3","BMR6-B4BL"
0,"M","35.3","BMR6-B4BL"
1,"M","35.8","BMR6-B4BL"
0,"M","35.8","BMR6-B4BL"
0,"M","36.2","BMR6-B4BL"
0,"M","36.2","BMR6-B4BL"
0,"M","36.5","BMR6-B4BL"
0,"M","36.5","BMR6-B4BL"
0,"M","37","BMR6-B4BL"
1,"M","34","BMR1-A4H"
1,"M","37","BMR1-A4H"
1,"M","34.8","BMR1-B2H"
1,"M","34","BMR6-A1BH"
1,"M","34.5","BMR6-A1BH"
1,"M","34.8","BMR6-A1BH"
1,"M","35.3","BMR6-A1BH"
1,"M","35.8","BMR6-A1BH"
1,"M","36.2","BMR6-A1BH"
0,"M","36.5","BMR6-A1BH"
1,"M","34","BMR6-B1BH"
1,"M","34.5","BMR6-B1BH"
1,"M","34.8","BMR6-B1BH"
1,"M","35.3","BMR6-B1BH"
1,"M","35.8","BMR6-B1BH"
1,"M","36.2","BMR6-B1BH"
0,"M","36.5","BMR6-B1BH"
1,"M","34","BMR6-C2BH"
1,"M","35.3","BMR6-C2BH"
1,"M","35.8","BMR6-C2BH"
1,"M","35.8","BMR6-C2BH"
1,"M","36.2","BMR6-C2BH"
0,"M","36.5","BMR6-C2BH"
1,"M","34.8","BMR6-A1BL"
1,"M","34","BMR1-A4L"
1,"M","34.5","BMR1-A4L"
0,"M","34.5","BMR1-A4L"
0,"M","34.5","BMR1-A4L"
1,"M","34.8","BMR1-A4L"
0,"M","34.8","BMR1-A4L"
1,"M","35.3","BMR1-A4L"
0,"M","36.2","BMR1-A4L"
0,"M","36.5","BMR1-A4L"
0,"M","37","BMR1-A4L"
0,"M","37","BMR1-A4L"
1,"M","34.5","BMR6-C2BL"
1,"M","35.3","BMR6-C2BL"
1,"M","35.8","BMR6-C2BL"
0,"M","37","BMR6-C2BL"
0,"M","37","BMR1-B2L"
1,"M","34","BMR6-B1BL"
0,"M","34.5","BMR6-B1BL"
1,"M","34.8","BMR6-B1BL"
0,"M","35.3","BMR6-B1BL"
0,"M","36.5","BMR6-B1BL"
0,"M","37","BMR6-B1BL"
1,"M","34.5","BMR4-A3H"
1,"M","34.8","BMR4-A3H"
1,"M","34.8","BMR4-A3H"
1,"M","35.3","BMR4-A3H"
1,"M","35.8","BMR4-A3H"
0,"M","35.8","BMR4-A3H"
1,"M","36.2","BMR4-A3H"
1,"M","36.5","BMR4-A3H"
1,"M","36.5","BMR4-A3H"
0,"M","37","BMR4-A3H"
1,"M","34","BMR4-A3L"
1,"M","34","BMR4-A3L"
1,"M","34","BMR4-A3L"
1,"M","34.5","BMR4-A3L"
1,"M","35.8","BMR4-A3L"
1,"M","35.8","BMR4-A3L"
1,"M","35.8","BMR4-A3L"
1,"M","36.5","BMR4-A3L"
0,"M","37","BMR4-A3L"
0,"M","37","BMR4-A3L"
1,"U","35.8","BMR4-B1H"
1,"U","34","BMR1-C4H"
0,"U","34","BMR1-C4H"
1,"U","34.5","BMR1-C4H"
1,"U","34.8","BMR1-C4H"
1,"U","35.3","BMR1-C4H"
1,"U","35.3","BMR1-C4H"
1,"U","35.3","BMR1-C4H"
0,"U","35.3","BMR1-C4H"
0,"U","35.8","BMR1-C4H"
0,"U","36.5","BMR1-C4H"
0,"U","37","BMR1-C4H"
1,"U","34.5","BMR6-A2BH"
1,"U","34.5","BMR6-A2BH"
1,"U","35.8","BMR6-A2BH"
1,"U","36.5","BMR6-A2BH"
1,"U","36.5","BMR6-A2BH"
1,"U","34.5","BMR4-B4H"
1,"U","34.5","BMR4-B4H"
1,"U","34.8","BMR4-B4H"
1,"U","35.3","BMR4-B4H"
1,"U","35.3","BMR4-B4H"
1,"U","36.5","BMR4-B4H"
0,"U","37","BMR4-B4H"
1,"U","34.5","BMR1-A1H"
1,"U","34.5","BMR1-A1H"
0,"U","37","BMR1-A1H"
1,"U","34","BMR6-A1H"
1,"U","35.3","BMR6-A1H"
1,"U","35.3","BMR6-A1H"
1,"U","36.2","BMR6-A1H"
1,"U","37","BMR6-A1H"
1,"U","34","BMR6-B4BH"
1,"U","34.5","BMR6-B4BH"
0,"U","34.5","BMR6-B4BH"
1,"U","34.8","BMR6-B4BH"
1,"U","35.3","BMR6-B4BH"
0,"U","36.5","BMR6-B4BH"
0,"U","36.5","BMR6-B4BH"
0,"U","36.5","BMR6-B4BH"
0,"U","36.5","BMR6-B4BH"
1,"U","34","BMR1-A1L"
1,"U","34.5","BMR1-A1L"
1,"U","34.8","BMR1-A1L"
1,"U","35.8","BMR1-A1L"
1,"U","36.2","BMR1-A1L"
0,"U","36.5","BMR1-A1L"
0,"U","36.5","BMR1-A1L"
1,"U","34","BMR1-B4L"
1,"U","34.5","BMR1-B4L"
1,"U","34.5","BMR1-B4L"
1,"U","34.8","BMR1-B4L"
1,"U","34.8","BMR1-B4L"
0,"U","35.3","BMR1-B4L"
1,"U","35.8","BMR1-B4L"
1,"U","35.8","BMR1-B4L"
1,"U","35.8","BMR1-B4L"
0,"U","36.2","BMR1-B4L"
0,"U","36.2","BMR1-B4L"
1,"U","36.5","BMR1-B4L"
1,"U","34","BMR6-A2BL"
1,"U","34","BMR4-B4L"
1,"U","34.8","BMR4-B4L"
1,"U","35.3","BMR4-B4L"
1,"U","35.8","BMR4-B4L"
0,"U","34","BMR1-C4L"
1,"U","34.5","BMR1-C4L"
1,"U","35.3","BMR1-C4L"
1,"U","34.5","BMR6-A1L"
0,"U","35.3","BMR6-A1L"
1,"U","35.8","BMR6-A1L"
1,"U","35.8","BMR6-A1L"
0,"U","36.2","BMR6-A1L"
0,"U","36.2","BMR6-A1L"
1,"U","34","BMR4-B1L"
1,"U","34.5","BMR4-B1L"
1,"U","34.5","BMR4-B1L"
1,"U","34.5","BMR4-B1L"
1,"U","34.8","BMR4-B1L"
0,"U","35.8","BMR4-B1L"
0,"U","36.5","BMR4-B1L"
1,"U","34.5","BMR6-B4BL"
1,"U","34.5","BMR6-B4BL"
1,"U","34.8","BMR6-B4BL"
1,"U","34.8","BMR6-B4BL"
0,"U","34.8","BMR6-B4BL"
0,"U","35.3","BMR6-B4BL"
1,"U","35.8","BMR6-B4BL"
1,"U","35.8","BMR6-B4BL"
1,"U","36.2","BMR6-B4BL"
1,"U","36.5","BMR6-B4BL"
0,"U","36.5","BMR6-B4BL"
0,"U","37","BMR6-B4BL"
1,"U","35.8","BMR1-A4H"
0,"U","37","BMR1-A4H"
1,"U","34","BMR1-B2H"
1,"U","34.5","BMR1-B2H"
1,"U","35.3","BMR1-B2H"
0,"U","36.2","BMR1-B2H"
0,"U","37","BMR1-B2H"
1,"U","34","BMR6-A1BH"
0,"U","34.5","BMR6-A1BH"
1,"U","34.8","BMR6-A1BH"
1,"U","34.8","BMR6-A1BH"
1,"U","35.3","BMR6-A1BH"
1,"U","35.8","BMR6-A1BH"
1,"U","35.8","BMR6-A1BH"
1,"U","36.2","BMR6-A1BH"
1,"U","36.5","BMR6-A1BH"
1,"U","36.5","BMR6-A1BH"
1,"U","36.5","BMR6-A1BH"
1,"U","37","BMR6-A1BH"
1,"U","34","BMR6-B1BH"
1,"U","34.5","BMR6-B1BH"
1,"U","34.8","BMR6-B1BH"
1,"U","34.8","BMR6-B1BH"
1,"U","35.3","BMR6-B1BH"
1,"U","35.3","BMR6-B1BH"
1,"U","35.3","BMR6-B1BH"
1,"U","35.3","BMR6-B1BH"
1,"U","35.8","BMR6-B1BH"
1,"U","35.8","BMR6-B1BH"
1,"U","35.8","BMR6-B1BH"
1,"U","36.2","BMR6-B1BH"
1,"U","36.2","BMR6-B1BH"
0,"U","36.2","BMR6-B1BH"
1,"U","36.5","BMR6-B1BH"
1,"U","36.5","BMR6-B1BH"
0,"U","36.5","BMR6-B1BH"
0,"U","36.5","BMR6-B1BH"
1,"U","37","BMR6-B1BH"
1,"U","37","BMR6-B1BH"
